accession	assembly_name	collection	sample_accession	scientific_name	base_count
GCA_056401935	ASM5640193v1	HvSC	SAMN42779325	Mucilaginibacter sp. P4_D1	7521546
GCA_056401955	ASM5640195v1	HvSC	SAMN42779324	Pseudomonas sp. P4_C9	5611232
GCA_056401975	ASM5640197v1	HvSC	SAMN42779323	Pseudomonas sp. P4_C8	6482645
GCA_056401995	ASM5640199v1	HvSC	SAMN42779322	Pseudomonas sp. P4_C7	6383010
GCA_056402015	ASM5640201v1	HvSC	SAMN42779321	Allobosea sp. P4_C6	5933998
GCA_056402035	ASM5640203v1	HvSC	SAMN42779320	Burkholderiaceae bacterium P4_C5	6687834
GCA_056402055	ASM5640205v1	HvSC	SAMN42779319	Pseudomonas sp. P4_C4	6589674
GCA_056402075	ASM5640207v1	HvSC	SAMN42779318	Pseudomonas sp. P4_C3	6530883
GCA_056402095	ASM5640209v1	HvSC	SAMN42779317	Peribacillus sp. P4_C12	5839214
GCA_056402115	ASM5640211v1	HvSC	SAMN42779316	Mucilaginibacter sp. P4_C11	7377493
GCA_056402135	ASM5640213v1	HvSC	SAMN42779315	Rhodococcus sp. P4_C10	5703049
GCA_056402155	ASM5640215v1	HvSC	SAMN42779314	Pseudomonas sp. P4_C1	6296014
GCA_056402175	ASM5640217v1	HvSC	SAMN42779313	Paenisporosarcina sp. P4_B8	3487388
GCA_056402195	ASM5640219v1	HvSC	SAMN42779312	Paenisporosarcina sp. P4_B7	3491323
GCA_056402215	ASM5640221v1	HvSC	SAMN42779311	Rhodococcus sp. P4_B6	10937089
GCA_056402235	ASM5640223v1	HvSC	SAMN42779310	Cellulomonas sp. P4_B5_2	4324486
GCA_056402255	ASM5640225v1	HvSC	SAMN42779308	Pseudomonas sp. P4_B4	6711045
GCA_056402275	ASM5640227v1	HvSC	SAMN42779309	Azospirillum sp. P4_B5	7059071
GCA_056402295	ASM5640229v1	HvSC	SAMN42779307	Pseudomonas sp. P4_B3	6511360
GCA_056402315	ASM5640231v1	HvSC	SAMN42779306	Pseudoxanthomonas sp. P4_B2	4173662
GCA_056402335	ASM5640233v1	HvSC	SAMN42779305	Allobosea sp. P4_B12	7627982
GCA_056402355	ASM5640235v1	HvSC	SAMN42779304	Variovorax sp. P4_B11	8446974
GCA_056402375	ASM5640237v1	HvSC	SAMN42779303	Variovorax sp. P4_B10	7165674
GCA_056402395	ASM5640239v1	HvSC	SAMN42779302	Peribacillus sp. P4_B1	5264654
GCA_056402415	ASM5640241v1	HvSC	SAMN42779301	Paenibacillus sp. P4_A9	6789095
GCA_056402435	ASM5640243v1	HvSC	SAMN42779300	Rahnella sp. P4_A8	5425597
GCA_056402455	ASM5640245v1	HvSC	SAMN42779299	Paenibacillus sp. P4_A7	7217467
GCA_056402475	ASM5640247v1	HvSC	SAMN42779298	Mucilaginibacter sp. P4_A6	7096128
GCA_056402495	ASM5640249v1	HvSC	SAMN42779297	Microvirga sp. P4_A5	4762269
GCA_056402515	ASM5640251v1	HvSC	SAMN42779296	Cellulomonas sp. P4_A2	4294802
GCA_056402535	ASM5640253v1	HvSC	SAMN42779294	Mucilaginibacter sp. P4_A11	7569881
GCA_056402555	ASM5640255v1	HvSC	SAMN42779295	Rhodococcus sp. P4_A12	5416344
GCA_056402575	ASM5640257v1	HvSC	SAMN42779293	Mucilaginibacter sp. P4_A10	7567102
GCA_056402595	ASM5640259v1	HvSC	SAMN42779291	Sphingomonas sp. P3_C6	5110566
GCA_056402615	ASM5640261v1	HvSC	SAMN42779292	Pedococcus sp. P3_C7	3974797
GCA_056402635	ASM5640263v1	HvSC	SAMN42779290	Sphingomonas sp. P3_C5	5597977
GCA_056402655	ASM5640265v1	HvSC	SAMN42779288	Bradyrhizobium sp. P3_C3	9033372
GCA_056402675	ASM5640267v1	HvSC	SAMN42779287	Polaromonas sp. P3_C2	4675475
GCA_056402695	ASM5640269v1	HvSC	SAMN42779289	Rhizobacter sp. P3_C4	6220546
GCA_056402715	ASM5640271v1	HvSC	SAMN42779285	Arthrobacter sp. P3_C11	4621482
GCA_056402735	ASM5640273v1	HvSC	SAMN42779286	Rhizobacter sp. P3_C12	7189358
GCA_056402755	ASM5640275v1	HvSC	SAMN42779284	Pedococcus sp. P3_C1	3984865
GCA_056402775	ASM5640277v1	HvSC	SAMN42779283	Rhodococcus sp. P3_B8	9415043
GCA_056402795	ASM5640279v1	HvSC	SAMN42779282	Azonexus sp. P3_B6	4344019
GCA_056402815	ASM5640281v1	HvSC	SAMN42779281	Mesorhizobium sp. P3_B5	6071215
GCA_056402835	ASM5640283v1	HvSC	SAMN42779280	Polaromonas sp. P3_B4	4852142
GCA_056402855	ASM5640285v1	HvSC	SAMN42779279	Ideonella sp. P3_B3	7818660
GCA_056402875	ASM5640287v1	HvSC	SAMN42779278	Devosia sp. P3_B2	4573254
GCA_056402895	ASM5640289v1	HvSC	SAMN42779277	Rhizobacter sp. P3_B12	7045915
GCA_056402915	ASM5640291v1	HvSC	SAMN42779276	Mesorhizobium sp. P3_B11	6408666
GCA_056402935	ASM5640293v1	HvSC	SAMN42779274	Polaromonas sp. P3_B1	5215834
GCA_056402955	ASM5640295v1	HvSC	SAMN42779275	Azospirillum sp. P3_B10	7780382
GCA_056402975	ASM5640297v1	HvSC	SAMN42779273	Mesorhizobium sp. P3_A9	7208612
GCA_056402995	ASM5640299v1	HvSC	SAMN42779272	Mesorhizobium sp. P3_A8	7219973
GCA_056403015	ASM5640301v1	HvSC	SAMN42779271	Polaromonas sp. P3_A7	4846675
GCA_056403035	ASM5640303v1	HvSC	SAMN42779270	Flavobacterium sp. P3_A6	5210590
GCA_056403055	ASM5640305v1	HvSC	SAMN42779269	Polaromonas sp. P3_A5	4796524
GCA_056403075	ASM5640307v1	HvSC	SAMN42779268	Ideonella sp. P3_A4	7715882
GCA_056403095	ASM5640309v1	HvSC	SAMN42779267	Burkholderiaceae bacterium P3_A3	6506785
GCA_056403115	ASM5640311v1	HvSC	SAMN42779266	Mesorhizobium sp. P3_A2	6469003
GCA_056403135	ASM5640313v1	HvSC	SAMN42779265	Burkholderiaceae bacterium P3_A12	7122210
GCA_056403155	ASM5640315v1	HvSC	SAMN42779264	Methylobacterium sp. P3_A11	6287187
GCA_056403175	ASM5640317v1	HvSC	SAMN42779263	Mesorhizobium sp. P3_A10	6246070
GCA_056403195	ASM5640319v1	HvSC	SAMN42779262	Labrys sp. P2_H9_2	7005775
GCA_056403215	ASM5640321v1	HvSC	SAMN42779261	Mesorhizobium sp. P2_H9	6286976
GCA_056403235	ASM5640323v1	HvSC	SAMN42779260	Rhodoferax sp. P2_H8_2	3893839
GCA_056403255	ASM5640325v1	HvSC	SAMN42779259	Elsteraceae bacterium P2_H8	5277379
GCA_056403275	ASM5640327v1	HvSC	SAMN42779258	Mycobacterium sp. P2_H7	6417092
GCA_056403295	ASM5640329v1	HvSC	SAMN42779257	Burkholderiaceae bacterium P2_H6	6819560
GCA_056403315	ASM5640331v1	HvSC	SAMN42779255	Roseateles sp. P2_H4	6548539
GCA_056403335	ASM5640333v1	HvSC	SAMN42779256	Rhodobacter sp. P2_H5	4957529
GCA_056403355	ASM5640335v1	HvSC	SAMN42779254	Rhizobacter sp. P2_H3	6795431
GCA_056403375	ASM5640337v1	HvSC	SAMN42779253	Rhizobacter sp. P2_H2	6635937
GCA_056403395	ASM5640339v1	HvSC	SAMN42779252	Variovorax sp. P2_H12	7376471
GCA_056403415	ASM5640341v1	HvSC	SAMN42779251	Burkholderiaceae bacterium P2_H11	6824687
GCA_056403435	ASM5640343v1	HvSC	SAMN42779249	Azonexus sp. P2_H1	4344064
GCA_056403455	ASM5640345v1	HvSC	SAMN42779250	Burkholderiaceae bacterium P2_H10_2	6565997
GCA_056403475	ASM5640347v1	HvSC	SAMN42779248	Rhizobium sp. P2_G9	8273369
GCA_056403495	ASM5640349v1	HvSC	SAMN42779246	Devosia sp. P2_G7	4611643
GCA_056403515	ASM5640351v1	HvSC	SAMN42779247	Rhizobium sp. P2_G8	8282684
GCA_056403535	ASM5640353v1	HvSC	SAMN42779245	Aeromicrobium sp. P2_G6	4460101
GCA_056403555	ASM5640355v1	HvSC	SAMN42779243	Rhizobium sp. P2_G2	8710466
GCA_056403575	ASM5640357v1	HvSC	SAMN42779244	Rhizobacter sp. P2_G4	7088674
GCA_056403595	ASM5640359v1	HvSC	SAMN42779241	Polaromonas sp. P2_G11	4835198
GCA_056403615	ASM5640361v1	HvSC	SAMN42779240	Flavobacterium sp. P2_G10	5185487
GCA_056403635	ASM5640363v1	HvSC	SAMN42779239	Microbacterium sp. P2_F9	4143144
GCA_056403655	ASM5640365v1	HvSC	SAMN42779238	Mesorhizobium sp. P2_F8	7473824
GCA_056403675	ASM5640367v1	HvSC	SAMN42779236	Pedococcus sp. P2_F6	4094516
GCA_056403695	ASM5640369v1	HvSC	SAMN42779237	Mesorhizobium sp. P2_F7	6833665
GCA_056403715	ASM5640371v1	HvSC	SAMN42779235	Mesorhizobium sp. P2_F5	6568514
GCA_056403735	ASM5640373v1	HvSC	SAMN42779234	Mesorhizobium sp. P2_F4	6584618
GCA_056403755	ASM5640375v1	HvSC	SAMN42779233	Burkholderiaceae bacterium P2_F2	6939030
GCA_056403775	ASM5640377v1	HvSC	SAMN42779232	Cellulomonas sp. P2_F12	4301627
GCA_056403795	ASM5640379v1	HvSC	SAMN42779231	Elsteraceae bacterium P2_E9_2	5384774
GCA_056403815	ASM5640381v1	HvSC	SAMN42779230	Mesorhizobium sp. P2_E9	7301213
GCA_056403835	ASM5640383v1	HvSC	SAMN42779227	Mesorhizobium sp. P2_E6	7024577
GCA_056403855	ASM5640385v1	HvSC	SAMN42779228	Mesorhizobium sp. P2_E7	6474335
GCA_056403875	ASM5640387v1	HvSC	SAMN42779229	Bradyrhizobium sp. P2_E8	8278539
GCA_056403895	ASM5640389v1	HvSC	SAMN42779226	Pedococcus sp. P2_E5	3963892
GCA_056403915	ASM5640391v1	HvSC	SAMN42779224	Terrabacter sp. P2_E3	4887002
GCA_056403935	ASM5640393v1	HvSC	SAMN42779225	Pedococcus sp. P2_E4	3807685
GCA_056403955	ASM5640395v1	HvSC	SAMN42779223	Pedococcus sp. P2_E2	4188531
GCA_056404215	ASM5640421v1	HvSC	SAMN42779222	Mesorhizobium sp. P2_E12	6284858
GCA_056404235	ASM5640423v1	HvSC	SAMN42779221	Mesorhizobium sp. P2_E10	6504618
GCA_056404255	ASM5640425v1	HvSC	SAMN42779220	Rhizobium sp. P2_E1	6220132
GCA_056404275	ASM5640427v1	HvSC	SAMN42779219	Pedococcus sp. P2_D9	4275719
GCA_056404295	ASM5640429v1	HvSC	SAMN42779218	Pedococcus sp. P2_D7	4007673
GCA_056404315	ASM5640431v1	HvSC	SAMN42779217	Mesorhizobium sp. P2_D6	6860421
GCA_056404335	ASM5640433v1	HvSC	SAMN42779216	Elsteraceae bacterium P2_D5_2	5289995
GCA_056404355	ASM5640435v1	HvSC	SAMN42779215	Mesorhizobium sp. P2_D5	6867364
GCA_056404375	ASM5640437v1	HvSC	SAMN42779214	Elsteraceae bacterium P2_D4	5333216
GCA_056404395	ASM5640439v1	HvSC	SAMN42779212	Rhizobacter sp. P2_D12	6843117
GCA_056404415	ASM5640441v1	HvSC	SAMN42779213	Elsteraceae bacterium P2_D3	4478231
GCA_056404435	ASM5640443v1	HvSC	SAMN42779211	Mucilaginibacter sp. P2_D11	6319975
GCA_056404455	ASM5640445v1	HvSC	SAMN42779210	Mesorhizobium sp. P2_D1	6713391
GCA_056404475	ASM5640447v1	HvSC	SAMN42779209	Cellulomonas sp. P2_C9	4031992
GCA_056404495	ASM5640449v1	HvSC	SAMN42779208	Cellulomonas sp. P2_C8	4196947
GCA_056404515	ASM5640451v1	HvSC	SAMN42779207	Mesorhizobium sp. P2_C7	7115052
GCA_056404535	ASM5640453v1	HvSC	SAMN42779206	Mesorhizobium sp. P2_C5_2	6303588
GCA_056404555	ASM5640455v1	HvSC	SAMN42779205	Asticcacaulis sp. P2_C5	6120133
GCA_056404575	ASM5640457v1	HvSC	SAMN42779204	Mesorhizobium sp. P2_C4	6332249
GCA_056404595	ASM5640459v1	HvSC	SAMN42779203	Agromyces sp. P2_C3	3986796
GCA_056404615	ASM5640461v1	HvSC	SAMN42779202	Massilia sp. P2_C2	6878674
GCA_056404635	ASM5640463v1	HvSC	SAMN42779201	Burkholderiaceae bacterium P2_C12	6492092
GCA_056404655	ASM5640465v1	HvSC	SAMN42779200	Elsteraceae bacterium P2_C11	5276237
GCA_056404675	ASM5640467v1	HvSC	SAMN42779199	Elsteraceae bacterium P2_C1	5275257
GCA_056404695	ASM5640469v1	HvSC	SAMN42779198	Mesorhizobium sp. P2_B9	6595057
GCA_056404715	ASM5640471v1	HvSC	SAMN42779197	Dongia sp. P2_B8	5223489
GCA_056404735	ASM5640473v1	HvSC	SAMN42779196	Mesorhizobium sp. P2_B7	6594059
GCA_056404755	ASM5640475v1	HvSC	SAMN42779195	Sphingomonas sp. P2_B6	5187905
GCA_056404775	ASM5640477v1	HvSC	SAMN42779194	Mesorhizobium sp. P2_B5	6598470
GCA_056404795	ASM5640479v1	HvSC	SAMN42779193	Cellulomonas sp. P2_B4	4272667
GCA_056404815	ASM5640481v1	HvSC	SAMN42779192	Agromyces sp. P2_B3	4266971
GCA_056404835	ASM5640483v1	HvSC	SAMN42779191	Allobosea sp. P2_B12	5409174
GCA_056404855	ASM5640485v1	HvSC	SAMN42779190	Mesorhizobium sp. P2_B11	6596230
GCA_056404875	ASM5640487v1	HvSC	SAMN42779189	Hylemonella sp. P2_B10	5553305
GCA_056404895	ASM5640489v1	HvSC	SAMN42779187	Rhizobacter sp. P2_A9	6912675
GCA_056404915	ASM5640491v1	HvSC	SAMN42779188	Asticcacaulis sp. P2_B1	5632232
GCA_056404935	ASM5640493v1	HvSC	SAMN42779186	Mesorhizobium sp. P2_A8	7391913
GCA_056404955	ASM5640495v1	HvSC	SAMN42779185	Elsteraceae bacterium P2_A7	5334290
GCA_056404975	ASM5640497v1	HvSC	SAMN42779184	Brevundimonas sp. P2_A6	2990295
GCA_056404995	ASM5640499v1	HvSC	SAMN42779183	Mucilaginibacter sp. P2_A5	7089168
GCA_056405015	ASM5640501v1	HvSC	SAMN42779182	Mucilaginibacter sp. P2_A4	7192454
GCA_056405035	ASM5640503v1	HvSC	SAMN42779181	Pedococcus sp. P2_A3	4430731
GCA_056405055	ASM5640505v1	HvSC	SAMN42779180	Bradyrhizobium sp. P2_A2	9035246
GCA_056405075	ASM5640507v1	HvSC	SAMN42779179	Mesorhizobium sp. P2_A12	7355450
GCA_056405095	ASM5640509v1	HvSC	SAMN42779178	Burkholderiaceae bacterium P2_A11	6666013
GCA_056405115	ASM5640511v1	HvSC	SAMN42779177	Allobosea sp. P2_A10	5451819
GCA_056405135	ASM5640513v1	HvSC	SAMN42779175	Devosia sp. P1_H9	4546889
GCA_056405155	ASM5640515v1	HvSC	SAMN42779176	Bradyrhizobium sp. P2_A1	9034887
GCA_056405175	ASM5640517v1	HvSC	SAMN42779174	Pedococcus sp. P1_H8	4183846
GCA_056405195	ASM5640519v1	HvSC	SAMN42779172	Polaromonas sp. P1_H6	5209869
GCA_056405215	ASM5640521v1	HvSC	SAMN42779173	Arthrobacter sp. P1_H7	4504149
GCA_056405235	ASM5640523v1	HvSC	SAMN42779171	Polaromonas sp. P1_H5	4885868
GCA_056405255	ASM5640525v1	HvSC	SAMN42779170	Agromyces sp. P1_H4	3979228
GCA_056405275	ASM5640527v1	HvSC	SAMN42779169	Polaromonas sp. P1_H3	5174625
GCA_056405295	ASM5640529v1	HvSC	SAMN42779168	Variovorax sp. P1_H2	7257870
GCA_056405315	ASM5640531v1	HvSC	SAMN42779166	Polaromonas sp. P1_H12	5268882
GCA_056405335	ASM5640533v1	HvSC	SAMN42779167	Variovorax sp. P1_H12_2	6826210
GCA_056405355	ASM5640535v1	HvSC	SAMN42779165	Mesorhizobium sp. P1_H10	7377183
GCA_056405375	ASM5640537v1	HvSC	SAMN42779164	Polaromonas sp. P1_H1	5349180
GCA_056405395	ASM5640539v1	HvSC	SAMN42779163	Azonexus sp. P1_G9	4342337
GCA_056405415	ASM5640541v1	HvSC	SAMN42779162	Polaromonas sp. P1_G7	5215744
GCA_056405435	ASM5640543v1	HvSC	SAMN42779160	Rhizobacter sp. P1_G5	6774222
GCA_056405455	ASM5640545v1	HvSC	SAMN42779161	Polaromonas sp. P1_G6	4204116
GCA_056405475	ASM5640547v1	HvSC	SAMN42779159	Polaromonas sp. P1_G4	4740919
GCA_056405495	ASM5640549v1	HvSC	SAMN42779158	Polaromonas sp. P1_G3	4644596
GCA_056405515	ASM5640551v1	HvSC	SAMN42779157	Polaromonas sp. P1_G2	5762409
GCA_056405535	ASM5640553v1	HvSC	SAMN42779156	Cellulomonas sp. P1_G12_2	4409593
GCA_056405555	ASM5640555v1	HvSC	SAMN42779155	Variovorax sp. P1_G12	7666394
GCA_056405575	ASM5640557v1	HvSC	SAMN42779154	Pseudomonas sp. P1_G10	6519294
GCA_056405595	ASM5640559v1	HvSC	SAMN42779153	Polaromonas sp. P1_G1	5533956
GCA_056405615	ASM5640561v1	HvSC	SAMN42779152	Polaromonas sp. P1_F9	4701844
GCA_056405635	ASM5640563v1	HvSC	SAMN42779151	Polaromonas sp. P1_F8	4749138
GCA_056405655	ASM5640565v1	HvSC	SAMN42779150	Pseudomonas sp. P1_F7	6806660
GCA_056405675	ASM5640567v1	HvSC	SAMN42779148	Polaromonas sp. P1_F4	4786843
GCA_056405695	ASM5640569v1	HvSC	SAMN42779149	Polaromonas sp. P1_F6	4961032
GCA_056405715	ASM5640571v1	HvSC	SAMN42779147	Rhodoferax sp. P1_F3	4443269
GCA_056405735	ASM5640573v1	HvSC	SAMN42779146	Polaromonas sp. P1_F2	5343349
GCA_056405755	ASM5640575v1	HvSC	SAMN42779144	Rhizobacter sp. P1_F10	6613443
GCA_056405775	ASM5640577v1	HvSC	SAMN42779145	Pseudomonas sp. P1_F11	6803979
GCA_056405795	ASM5640579v1	HvSC	SAMN42779142	Polaromonas sp. P1_F1	4896499
GCA_056405815	ASM5640581v1	HvSC	SAMN42779143	Pseudomonas sp. P1_F1_2	6543681
GCA_056405835	ASM5640583v1	HvSC	SAMN42779141	Polaromonas sp. P1_E8	5030526
GCA_056405855	ASM5640585v1	HvSC	SAMN42779140	Pararhizobium sp. P1_E7	5945338
GCA_056405875	ASM5640587v1	HvSC	SAMN42779139	Rhizobium sp. P1_E6	7381714
GCA_056405895	ASM5640589v1	HvSC	SAMN42779138	Flavobacterium sp. P1_E5	4466500
GCA_056405915	ASM5640591v1	HvSC	SAMN42779137	Flavobacterium sp. P1_E4	4521547
GCA_056405935	ASM5640593v1	HvSC	SAMN42779136	Polaromonas sp. P1_E3	4514103
GCA_056405955	ASM5640595v1	HvSC	SAMN42779135	Burkholderiaceae bacterium P1_E2	6266526
GCA_056405975	ASM5640597v1	HvSC	SAMN42779134	Polaromonas sp. P1_E12	4881801
GCA_056405995	ASM5640599v1	HvSC	SAMN42779133	Polaromonas sp. P1_E11	4651773
GCA_056406015	ASM5640601v1	HvSC	SAMN42779131	Rhizobium sp. P1_E1	7496522
GCA_056406035	ASM5640603v1	HvSC	SAMN42779132	Polaromonas sp. P1_E1_2	4593965
GCA_056406055	ASM5640605v1	HvSC	SAMN42779130	Mucilaginibacter sp. P1_D7	5817242
GCA_056406075	ASM5640607v1	HvSC	SAMN42779128	Rhizobium sp. P1_D5	6582896
GCA_056406095	ASM5640609v1	HvSC	SAMN42779129	Caulobacter sp. P1_D6	5222655
GCA_056406115	ASM5640611v1	HvSC	SAMN42779127	Arthrobacter sp. P1_D4	4797856
GCA_056406135	ASM5640613v1	HvSC	SAMN42779126	Luteibacter sp. P1_D3	4976680
GCA_056406155	ASM5640615v1	HvSC	SAMN42779125	Pseudomonas sp. P1_D2	6560148
GCA_056406175	ASM5640617v1	HvSC	SAMN42779124	Arthrobacter sp. P1_D12	4711340
GCA_056406195	ASM5640619v1	HvSC	SAMN42779123	Burkholderiaceae bacterium P1_D11	6340291
GCA_056406215	ASM5640621v1	HvSC	SAMN42779122	Mucilaginibacter sp. P1_D10	6259991
GCA_056406235	ASM5640623v1	HvSC	SAMN42779121	Pseudomonas sp. P1_D1	6499525
GCA_056406255	ASM5640625v1	HvSC	SAMN42779119	Pseudomonas sp. P1_C8	6523542
GCA_056406275	ASM5640627v1	HvSC	SAMN42779120	Chitinimonadaceae bacterium P1_C9	6349549
GCA_056406295	ASM5640629v1	HvSC	SAMN42779118	Rhizobium sp. P1_C7	6440941
GCA_056406315	ASM5640631v1	HvSC	SAMN42779117	Roseateles sp. P1_C6	6623535
GCA_056406335	ASM5640633v1	HvSC	SAMN42779116	Rhodobacter sp. P1_C5	4680815
GCA_056406355	ASM5640635v1	HvSC	SAMN42779115	Cellulomonas sp. P1_C4	4251671
GCA_056406375	ASM5640637v1	HvSC	SAMN42779113	Rhodobacter sp. P1_C2	5317090
GCA_056406395	ASM5640639v1	HvSC	SAMN42779114	Chitinimonadaceae bacterium P1_C3	6569497
GCA_056406415	ASM5640641v1	HvSC	SAMN42779112	Arthrobacter sp. P1_C12_2	4910294
GCA_056406435	ASM5640643v1	HvSC	SAMN42779111	Pseudomonas sp. P1_C12	6518932
GCA_056406455	ASM5640645v1	HvSC	SAMN42779110	Mucilaginibacter sp. P1_C11	7302464
GCA_056406475	ASM5640647v1	HvSC	SAMN42779109	Massilia sp. P1_C10	4792678
GCA_056406495	ASM5640649v1	HvSC	SAMN42779107	Arthrobacter sp. P1_B9	4577393
GCA_056406515	ASM5640651v1	HvSC	SAMN42779106	Rhizobium sp. P1_B8	7405926
GCA_056406535	ASM5640653v1	HvSC	SAMN42779108	Roseateles sp. P1_C1_2	6385279
GCA_056406555	ASM5640655v1	HvSC	SAMN42779103	Arthrobacter sp. P1_B4	4414300
GCA_056406575	ASM5640657v1	HvSC	SAMN42779104	Chitinimonadaceae bacterium P1_B5	6464032
GCA_056406595	ASM5640659v1	HvSC	SAMN42779105	Mucilaginibacter sp. P1_B6	6627824
GCA_056406615	ASM5640661v1	HvSC	SAMN42779102	Arthrobacter sp. P1_B3	5211456
GCA_056406635	ASM5640663v1	HvSC	SAMN42779100	Polaromonas sp. P1_B2	5055467
GCA_056406655	ASM5640665v1	HvSC	SAMN42779101	Burkholderiaceae bacterium P1_B2_2	7645183
GCA_056406675	ASM5640667v1	HvSC	SAMN42779099	Caulobacter sp. P1_B12_2	5057669
GCA_056406695	ASM5640669v1	HvSC	SAMN42779098	Priestia sp. P1_B12_1	5698897
GCA_056406715	ASM5640671v1	HvSC	SAMN42779097	Arthrobacter sp. P1_B11	4848489
GCA_056406735	ASM5640673v1	HvSC	SAMN42779096	Allobosea sp. P1_B10	5418549
GCA_056406755	ASM5640675v1	HvSC	SAMN42779095	Rhizobium sp. P1_A9	7846285
GCA_056406775	ASM5640677v1	HvSC	SAMN42779094	Allobosea sp. P1_A7	7678591
GCA_056406795	ASM5640679v1	HvSC	SAMN42779093	Neorhizobium sp. P1_A6	6153651
GCA_056406815	ASM5640681v1	HvSC	SAMN42779091	Mucilaginibacter sp. P1_A4	7297445
GCA_056406825	ASM5640682v1	HvSC	SAMN42779092	Arthrobacter sp. P1_A5	4468173
GCA_056406855	ASM5640685v1	HvSC	SAMN42779090	Mucilaginibacter sp. P1_A3	7307393
GCA_056406875	ASM5640687v1	HvSC	SAMN42779088	Mesorhizobium sp. P1_A12	6860967
GCA_056406895	ASM5640689v1	HvSC	SAMN42779089	Polaromonas sp. P1_A2	5000657
GCA_056406915	ASM5640691v1	HvSC	SAMN42779087	Variovorax sp. P1_A11	10055510
GCA_056406935	ASM5640693v1	HvSC	SAMN42779085	Pseudomonas sp. P1_A1	6390523
GCA_056406955	ASM5640695v1	HvSC	SAMN42779086	Rhizobium sp. P1_A10	7139931
GCA_056555115	ASM5655511v1	AtSC	SAMN42773411	Stenotrophomonas sp. 05L415	5559632
GCA_056555145	ASM5655514v1	HvSC	SAMN42779366	Mycolicibacterium sp. P4_G11	5935921
GCA_056555165	ASM5655516v1	HvSC	SAMN42779342	Massilia sp. P4_E2	7297894
GCA_056555285	ASM5655528v1	AtSC	SAMN42773321	Cupriavidus sp. 01N412	8650950
GCA_056665975	ASM5666597v1	AtSC	SAMN42773503	Caulobacter sp. 05T431	5234744
GCA_056665995	ASM5666599v1	AtSC	SAMN42773428	Stenotrophomonas sp. 05L44_2	4361111
GCA_964252695	LjRoot117v2	LjSC	SAMEA115676832	Acidovorax sp. LjRoot117	6094667
GCA_964252705	LjRoot125v2	LjSC	SAMEA115676835	Pseudoxanthomonas sp. LjRoot125	4000338
GCA_964252715	LjRoot296v2	LjSC	SAMEA115676934	Cupriavidus necator	8835097
GCA_964252725	LjRoot122v2	LjSC	SAMEA115676834	Massilia sp. LjRoot122	5836280
GCA_964252735	LjNodule214v2	LjSC	SAMEA115676823	Mesorhizobium sp. LjNodule214	7744791
GCA_964252745	LjRoot9v2	LjSC	SAMEA115676969	Allobosea sp. LjRoot9	6773982
GCA_964252755	LjRoot29v2	LjSC	SAMEA115676930	Caballeronia sp. LjRoot29	7871953
GCA_964252765	LjRoot11v2	LjSC	SAMEA115676829	Agrobacterium tumefaciens	5402501
GCA_964252775	LjRoot234v2	LjSC	SAMEA115676891	Mesorhizobium amorphae	7030434
GCA_964252785	LjRoot178v2	LjSC	SAMEA115676864	Variovorax sp. LjRoot178	8198234
GCA_964252795	LjRoot16v2	LjSC	SAMEA115676854	Devosia sp. LjRoot16	5894209
GCA_964252805	LjRoot131v2	LjSC	SAMEA115676840	Polaromonas sp. LjRoot131	5117782
GCA_964252815	LjRoot166v2	LjSC	SAMEA115676858	Acidovorax delafieldii	5479910
GCA_964252825	LjRoot241v2	LjSC	SAMEA115676898	Paraburkholderia hospita	11360794
GCA_964252835	LjRoot205v2	LjSC	SAMEA115676874	Microbacterium foliorum	3881159
GCA_964252855	LjRoot225v2	LjSC	SAMEA115676882	Phenylobacterium sp. LjRoot225	5682776
GCA_964252865	LjRoot3v2	LjSC	SAMEA115676936	Devosia sp. LjRoot3	4785905
GCA_964252875	LjRoot267v2	LjSC	SAMEA115676917	Paraburkholderia hospita	11989812
GCA_964252885	LjRoot257v2	LjSC	SAMEA115676910	Ensifer adhaerens	7559888
GCA_964252895	LjRoot7v2	LjSC	SAMEA115676959	Aminobacter sp. LjRoot7	6274453
GCA_964252905	LjRoot255v2	LjSC	SAMEA115676909	Pararhizobium sp. LjRoot255	5693676
GCA_964252915	LjRoot220v2	LjSC	SAMEA115676878	Bradyrhizobium sp. LjRoot220	7658220
GCA_964252925	LjRoot289v2	LjSC	SAMEA115676929	Pseudoduganella sp. LjRoot289	7026711
GCA_964252935	LjRoot98v2	LjSC	SAMEA115676973	Rhizobium sp. LjRoot98	6453361
GCA_964252945	LjRoot143v2	LjSC	SAMEA115676845	Pseudoxanthomonas sp. LjRoot143	4463964
GCA_964252955	LjRoot238v2	LjSC	SAMEA115676895	Pararhizobium sp. LjRoot238	5956784
GCA_964252965	LjRoot1	LjSC	SAMEA115676824	Achromobacter mucicolens	6183868
GCA_964252975	LjRoot38v2	LjSC	SAMEA115676945	Acidovorax sp. LjRoot38	5662757
GCA_964252985	LjRoot15v2	LjSC	SAMEA115676849	Peribacillus frigoritolerans	5556957
GCA_964252995	LjRoot219v2	LjSC	SAMEA115676876	Phenylobacterium sp. LjRoot219	5457878
GCA_964253005	LjRoot167	LjSC	SAMEA115676859	plant metagenome	4667976
GCA_964253015	LjRoot194v2	LjSC	SAMEA115676870	Acidovorax sp. LjRoot194	6018762
